№,Реальныйрейтинг,Уникальныйкод,Номерличногодела,Баллприоритет 1,Баллприоритет 2,Баллприоритет 3,Суммабаллов попредметам,СуммаИД,Суммацелевых ИД,Конкурсныйбалл,Общежитие,Согласие,Приоритет,Основнойвысшийприоритет,Высшийпроходнойприоритет,Льгота,Номерпредложения,Номерзаказчика,Имеетсязаявка,Предложениена РВР,Преимущественноеправо,Статус вГосуслугах,Примечание
1,,4256996,141531,84,76,83,243,10,0,253,не нужд.,нет,4,1,,2,,,,нет,,На рассмотрении,
2,,3862664,137040,78,77,78,233,2,0,235,нужд.,нет,1,1,,2,,,,нет,,На рассмотрении,
3,,4257893,141573,74,75,67,216,0,0,216,нужд.,да,5,1,1,2,,,,нет,,На рассмотрении,
4,,4163347,141078,72,59,78,209,0,0,209,не нужд.,нет,1,1,,2,,,,нет,,На рассмотрении,
5,,3777474,132956,64,54,61,179,0,0,179,не нужд.,нет,1,1,,2,,,,нет,,На рассмотрении,
6,,3897824,135082,52,64,58,174,0,0,174,не нужд.,нет,5,1,,2,,,,нет,,На рассмотрении,
7,,4087166,139090,52,58,57,167,0,0,167,нужд.,нет,1,2,,2,,,,нет,,На рассмотрении,
8,,4102069,135009,40,54,69,163,3,0,166,не нужд.,нет,5,,,2,,,,нет,,Ожидание результатов ВИ,
9,,4035264,138448,52,44,61,157,0,0,157,не нужд.,нет,2,1,,2,,,,нет,,Ожидание результатов ВИ,
10,,4093885,137732,0,0,0,0,0,0,0,не нужд.,нет,1,1,,3,,,,нет,,На рассмотрении,
11,,3911976,135884,76,70,75,221,6,0,227,нужд.,нет,5,1,,4,,,,нет,,На рассмотрении,
12,,3694574,131816,78,73,73,224,0,0,224,нужд.,нет,1,1,,4,,,,нет,,На рассмотрении,
13,,4085903,139375,72,70,61,203,10,0,213,нужд.,нет,3,1,,4,,,,нет,,На рассмотрении,
14,,3917379,135721,64,54,78,196,10,0,206,нужд.,нет,4,2,,4,,,,нет,,Ожидание результатов ВИ,
15,,4034819,138423,78,65,61,204,0,0,204,не нужд.,нет,1,1,,4,,,,нет,,На рассмотрении,
16,,3896722,136553,72,49,69,190,0,0,190,не нужд.,нет,1,2,,4,,,,нет,,На рассмотрении,
17,,4105547,139755,52,58,49,159,10,0,169,нужд.,нет,1,2,,4,,,,нет,,На рассмотрении,
18,,3835538,138891,58,49,54,161,0,0,161,не нужд.,нет,8,1,,4,,,,нет,,На рассмотрении,
19,,3623638,131553,,,,,0,,,нужд.,да,1,,,5,,,,нет,,На рассмотрении,
20,,3840173,141370,94,96,100,290,10,0,300,нужд.,нет,2,1,,0,,,,нет,,На рассмотрении,
21,,3901220,135248,90,100,97,287,10,0,297,не нужд.,нет,2,1,,0,,,,нет,,Участвует в конкурсе,
22,,3848608,134170,94,95,89,278,10,0,288,не нужд.,нет,7,1,,0,,,,нет,,Участвует в конкурсе,
23,,3859025,134464,86,93,86,265,10,0,275,не нужд.,нет,2,,,0,,,,нет,,На рассмотрении,
24,,3847659,137469,84,94,94,272,3,0,275,нужд.,нет,4,1,,0,,,,нет,,Участвует в конкурсе,
25,,3623667,131030,82,94,89,265,10,0,275,не нужд.,нет,3,1,,0,,,,нет,,На рассмотрении,
26,,3977594,139476,80,84,94,258,10,0,268,нужд.,нет,3,1,,0,,,,нет,,Участвует в конкурсе,
27,,3875626,136646,82,92,83,257,10,0,267,нужд.,нет,1,1,,0,,,,нет,,Участвует в конкурсе,
28,,3733413,132373,82,90,86,258,3,0,261,не нужд.,да,1,,,0,,,,нет,,На рассмотрении,
29,,3961725,136966,82,90,78,250,10,0,260,не нужд.,нет,3,1,,0,,,,нет,,Участвует в конкурсе,
30,,4099167,139527,74,93,86,253,7,0,260,не нужд.,нет,13,2,,0,,,,нет,,Участвует в конкурсе,
31,,3961456,136952,90,90,78,258,0,0,258,нужд.,нет,2,1,,0,,,,нет,,Участвует в конкурсе,
